职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
python 后端开发工程师（AI Agent 方向）,华佗大数据,10-15K,杭州,萧山区,西兴,杭州萧山区国家人工智能应用中试基地医疗(萧山信息港主园区)4幢,3-5年,本科,3-5年数字后端工程师经验、有数字后端工程师经验、Python,,"1.本科及以上学历，计算机、软件工程等相关专业，3-5年 Python 后端开发经验；
2.熟练掌握 Python，代码风格规范，具备良好的工程化意识与模块化设计能力；
3.熟悉至少⼀种主流 Web 框架（FastAPI / Django / Flask），具备实际项⽬开发经验；
4.熟悉关系型数据库（PostgreSQL / MySQL），能够编写⾼效 SQL，了解索引优化与查询性能调优；
5.了解 Redis、消息队列（Kafka / RabbitMQ）等常见中间件的使用场景与集成方式；
6.具备良好的问题排查与调试能⼒，能够独立承担模块级开发任务；
7.学习能力强，能够快速上手新业务与新技木，具备较强的主动性与责任心。

核心加分项（重要）：
•具备 AI Agent 开发经验，熟悉 LangChain、LangGraph、Semantic Kernel、AutoGen 等至少一种 Agent 开发框架；
•了解 RAG（检索增强生成） 技术栈，如 Chroma / FAISS / Pinecone、Embedding 模型、向量检索等；
•有 LLM 应用开发经验，熟悉 Prompt Engineering、Function Calling、Tool Use 等 Agent 核心能力；
•能够结合大健康场景（如健康咨询、报告解读、慢病管理、用药提醒、随访助手等）设计并落地 Agent 服务；

其他加分项：
•有数据处理经验（Pandas、Polars 等）；
•有高并发、大数据量场景下的系统设计经验；
•熟悉 Docker / Kubernetes，有 CI/CD 实践经验；
•有大健康、医疗、智慧医疗、健康管理平台等行业经验者优先。",郭丹,人事,刚刚活跃,https://www.zhipin.com/job_detail/156daef0dea03ce10nd73N69FFNS.html,通过,通过,
数据获取专员（AI+Python方向）JD,杭州找北智职智能科技,17-30K,杭州,拱墅区,拱宸桥,杭州拱墅区中国杭州人力资源服务产业园北楼17层,3-5年,本科,,团建聚餐、节日福利、高温补贴、有无线网、零食下午茶、五险一金、生日福利、底薪加提成、带薪年假,"关于这个岗位
我们是一家用AI帮大学生找⼯作的公司，核⼼竞争⼒是数据——覆盖全网主流招聘平台的岗位信息、海量企业的校招社招动态、各省市的就业政策。这些数据全靠采集。你进来就是⼲这件事：把全网的招聘数据稳定、高效地抓回来。
数据源涵盖主流招聘平台、大量企业官网和政府网站。你不会缺数据可以爬，只会觉得时间不够用。
你来了之后做什么：
- 负责主流招聘平台的岗位和简历数据采集，维护现有爬虫的稳定运行，处理反爬升级带来的各种问题
- 对接大量企业官网的招聘页面，用Python脚本+RPA工具实现自动化监控和增量抓取
- 管理IP代理池和采集账号池，设计轮转策略，确保采集不被封
- 处理各类验证码（滑块、图形、点选），保障自动化流程不中断
- 采集到的原始数据做清洗、去重、标准化，入库供后端业务使用
- 负责自动化网申的浏览器操作部分——用Playwright自动填写招聘网站的表单，帮用户投递简历
- 用大模型API辅助解析非标准网页结构，提高新网站的脚本生成效率
必须有的：
- Python爬虫实战经验，不是学过，是在线上跑过、被封过、解决过
- 用过Scrapy、Playwright、Selenium中的至少一个，做过完整的采集项目
- 处理过反爬对抗——IP被封怎么办、账号被限怎么办、页面改版怎么办，有实际的解决经历
- 能写干净的代码，不是跑通就行，而是别人能看懂、能维护
有这些更好（不硬性要求）：
- 有Java基础，能写简单的后端接口或管理工具
- 做过RPA自动化（八爪鱼、影刀或类似工具）
- 有APP或小程序的数据抓取经验
- 用过AI编程工具（Cursor、Claude Code等），愿意用AI提高自己的开发效率
- 处理过验证码识别（OCR、打码平台对接）
比技术更重要的：
爬虫这个岗位天天和反爬对抗，今天能跑的脚本明天可能就废了。我们需要的人不是""技术最厉害""的，而是被封了不慌、换个思路继续搞的人。你得有韧性，遇到问题第一反应是""怎么绕过去""而不是""这个搞不了""。
同时你需要关心数据的业务价值，不是""爬下来就完了""。你爬的每一条岗位信息，最终是帮一个大学生找到工作的。数据质量不行、更新不及时，下游的AI推荐就会出错。",冉女士,综合事务经理,刚刚活跃,https://www.zhipin.com/job_detail/7ee2238cae79bbee0nZ52966E1BU.html,通过,通过,
Python 实习生,赛脑智能,150-250元/天,杭州,余杭区,老余杭,杭州余杭区菜鸟智谷产业园一期A2栋11层,5天/周 3个月,本科,MySQL、Python、Flask,通讯补贴、节日福利、交通补助、股票期权、年终奖、免费工装、零食下午茶、员工旅游、团建聚餐、全勤奖、生日福利、绩效奖金、五险一金、带薪年假,"岗位职责：
1.根据设计文档，完成上位机程序的代码编写、调试及实施，并确保模块稳定运行
2.撰写相关技术文档
任职要求：
1、2027年毕业本科生，计算机相关专业
2、熟悉Python语言
3、熟悉SQL语法、Socket编程及串口通讯编程
4、良好的理解能力，团队协作意识，良好沟通能力
工作时间：8:30-17:30不加班，周末双休，节假日休息。",宋女士,人事,刚刚活跃,https://www.zhipin.com/job_detail/25a1132c32a65e7003F52tW5GFdR.html,通过,通过,
python爬虫开发工程师,税安科技,15-20K,杭州,滨江区,长河,杭州滨江区中廊大厦19F,3-5年,本科,RabbitMQ、爬虫、大数据采集、python、RPA、Redis,加班补助、节日福利、年终奖、零食下午茶、定期体检、交通补助、全勤奖、带薪年假、餐补、五险一金、员工旅游,"岗位职责：
参与公司软件开发，具体有
-    参与需求分析、概要设计、数据库设计等
-    根据开发规范与流程完成模块设计、代码开发、单元测试、功能测试及相关文档
-    参与系统交付、质量保证，对项目实施提供支持

职位要求：
1、具有较好的Java或Python编程能力，有RPA相关经验优先。
2、扎实的计算机科学基础知识，熟悉操作系统、数据库、常见数据结构和算法
2、深入学习过Spring等开源框架并能熟练运用，了解其运作原理，理解Redis、RabbitMQ等中间件；
3、对Python语言、网络爬虫、深度学习算法及相应的框架技术比较熟悉。
4、具有良好的沟通协调能力与团队协作能力。",钱女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/90b2a7a84b9c84941HJ_2NS1GFVR.html,通过,通过,
Python开发工程师  银行项目,银信科技,12-18K,杭州,滨江区,长河,杭州滨江区阿里中心·杭州滨江杭州市滨江区滨兴路1866号,3-5年,本科,pandas、scipy、Scrapy、Django、Pandas、Hadoop、MongoDB、numpy、Oracle、Linux开发/部署经验、Numpy、Python,员工旅游、零食下午茶、通讯补贴、定期体检、节日福利、年终奖、带薪年假、五险一金、补充医疗保险、餐补,"1、本科及以上学历，计算机及相关专业毕业
2、有3年以上工作经验
3、掌握Python语法，熟练使用Python标准库及numpy、scipy、pandas等数据处理方面常⽤的第三⽅python库
4、熟悉Flask等常⽤开发框架，了解常用分布式处理框架，有海量数据分析基础者优先
5、掌握Redis，RabbitMQ等中间件使用，熟悉Oracle及MongoDB数据库使⽤
6、对代码和设计质量有严格要求，重视Code Review，有良好的编程习惯
7、了解linux常用操作指令，熟悉devops
8、掌握基于hadoop的大数据开发，熟练Sparksql，并能运用Hive进行查询以及性能优化者优先
9、有投研分析相关系统开发经验、熟悉常用投资研究指标者优先",易女士,人事总监,本周活跃,https://www.zhipin.com/job_detail/b473ebaaba6cebe10nR92d28GVVW.html,通过,通过,
Python -周末双休,软通动力,8-13K,杭州,滨江区,长河,杭州滨江区中控信息大厦1,1-3年,本科,脚本、AI、CPU、内存、python脚本测试、Python,带薪年假、零食下午茶、交通补助、五险一金、定期体检,"【岗位职责】

1.智能体设计与开发：负责基于LLM（大语言模型）的AI Agent（智能体）开发工作，使用 Python 编写⾼效的⾃动化脚本和业务逻辑，构建具备感知、规划、⼯具调用能力的智能应⽤。

2.大模型接口集成：负责对接主流大模型API（如OpenAI、Qwen、Deepseek接口等），进行Prompt工程优化，管理上下文窗口，确保模型输出的准确性与稳定性。

3.工具与插件开发：为智能体编写和封装各类Function Call（函数调用）接口，实现智能体与外部系统的交互。

4.ICT场景落地：结合ICT（信息与通信技术）领域业务需求（如网络运维、IT基础设施管理、通信配置自动化等），将AI智能体技术应用于实际生产场景，提升运维与交付效率。

 

【岗位要求】

基础要求：

1.学历背景：计算机、通信工程、软件工程或相关专业本科及以上学历。

2.编程能力：精通 Python 语言，拥有扎实的编码功底，能够熟练编写各类自动化脚本、数据处理脚本及API服务接口。

3.大模型应用经验：

  熟悉主流LLM原理，有实际调用大模型API（RESTful API）开发的经验。

  理解RAG（检索增强生成）和Function Calling（工具调用）的基本原理。

  开发框架：熟悉至少一种Agent开发框架或工具库（如LangChain, LlamaIndex, CrewAI, AutoGen, Semantic Kernel等）。

4.工程素养：熟悉Linux开发环境，熟练使用Git进行版本控制，具备良好的代码规范和文档编写习惯。

优先录用：

1.理解或实践过 MCP (Model Context Protocol)、A2A (Agent-to-Agent) 等智能体常见协议。

2.具备ICT相关基础知识，了解网络协议（TCP/IP, HTTP, SNMP, NETCONF）、云计算等知识。

3.有网络自动化运维（NetOps/AIOps）相关脚本开发经验。",林女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/87614c1efeed11be0nV73N67E1RQ.html,通过,通过,
Python（web）,青榕文化,15-20K,杭州,,,杭州拱墅区银泰城·悦轩C座18楼,3-5年,本科,Django、MySQL、Python、Flask,加班补助、五险一金、零食下午茶、绩效奖金、包吃、生日福利、定期体检、节假日加班费、交通补助、带薪年假、团建聚餐、节日福利、高温补贴、员工旅游、底薪加提成、全勤奖,"岗位职责：
1、负责公司相关项目的 Python 后端开发与维护，参与系统架构设计与优化
2、根据业务需求，完成高质量的代码编写、单元测试及文档编写;
3、参与数据接口、API的设计与开发，确保系统的高可⽤性与扩展性;
4、参与 ai agent 的设计与开发;
5、持续关注并学习新技术，优化现有系统性能与开发流程
任职要求：
1、三年以上服务器端开发经验，⾄少⼀年以上python web端后台开发经验。
2、精通Python语言，理解并发编程和异步编程概念。
3、熟练掌握 fastapi，Diango、Flask等至少1个Web开发框架。
4、熟悉python⽣态及常用库，例如celery，asyncio。
5、熟悉Linux环境下的开发。
6、熟悉mysql数据库，熟悉innodb引擎特性，理解并实践使用事务等概念，理解如何优化关系数据库的性能。
*其他要求
1、具备良好的编码习惯及开发文档书写习惯，
以及具备良好的系统分析设计能力
2、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大的工作压力
3、计算机或相关专业本科及以上学历，具有扎实的计算机基础知识",陈女士,招聘HR,刚刚活跃,https://www.zhipin.com/job_detail/9ab94819d6955c640ndy2dS-E1NQ.html,通过,通过,
python全栈开发工程师,杭州寰马智能科技,20-35K,杭州,上城区,秋涛路沿线,杭州上城区东站金龙中心A座907室,5-10年,本科,PostgreSQL、MySQL、Linux开发/部署经验、Python、Flask,股票期权、节日福利、零食下午茶、绩效奖金、全勤奖、团建聚餐、五险一金、工龄奖、带薪年假,"岗位职责：
1.后端开发：基于Python技术栈（Flask/FastAPI），负责应用后端服务的设计、开发与优化，涵盖接口设计、业务逻辑实现、性能调优及线上问题排查，保障后端服务高可用、高稳定。
2.前端开发：独⽴完成前后端全栈开发，使⽤Vue框架（Vue2/Vue3均可，Vue3优先）开发前端交互页⾯，实现应用的可视化操作、数据展示及⽤户交互功能，保障前端体验流畅。
3.大模型应用：参与大模型应用的需求分析与方案设计，结合企业业务场景，完成大模型微调、prompt工程、知识库构建（如RAG）等核心工作，提升大模型应用的实用性和准确性。
4.工程化落地：负责Flask/FastAPI项目的工程化推进，包括接口文档编写、单元测试、部署上线、服务监控及迭代维护，规范开发流程，提升开发效率。
5.协同推进：配合产品、算法团队推进AI产品落地，解决开发过程中的跨技术栈技术难点，保障项目按时按质交付。
6.性能优化：优化大模型应用的响应速度、资源占用等性能指标，处理高并发场景下的技术问题，沉淀相关开发规范和技术方案。

任职要求：
1.学历与经验：计算机相关专业本科及以上学历，5年及以上Python实际开发经验，具备完整的全栈项目（后端+前端）落地经验。
2.后端技术：精通Python后端开发，熟练使用Flask、FastAPI框架，能独立搭建高可用后端服务，熟悉RESTful接口设计规范、请求处理、中间件开发。
3.前端技术：精通Vue框架（Vue2/Vue3），熟练使用Element UI/Plus、Ant Design Vue等组件库，熟练运用Vuex/Pinia、Vue Router、Axios等生态工具，能独立完成前端页面开发与调试。
4.大模型技术：具备大模型应用开发经验，熟悉prompt工程、RAG技术、大模型API调用/二次开发，了解主流大模型（如GPT、文心一言、通义千问等）的使用及适配方法。
5.数据与缓存：熟悉MySQL/PostgreSQL等关系型数据库，具备数据库优化、索引设计能力；熟悉Redis/Memcached等缓存中间件，能运用缓存提升系统性能。
6.部署与运维：熟悉Linux系统操作、Docker容器化部署，了解CI/CD流程，能独立完成项目的部署、监控及日常运维工作。
7.工程化思维：具备良好的代码规范，熟练使用Git进行版本控制，有单元测试、接口测试实践经验，重视代码复用性和可维护性。

补充：
1.项目经验：有AI产品、大模型应用平台、企业级SaaS系统开发经验者优先。
2.技术拓展：熟悉React/Angular等其他前端框架，或UniApp等跨端技术者加分；了解大模型底层原理、向量数据库（Milvus/Pinecone/Chroma）、搜索引擎（Elasticsearch）者优先。
3.架构能力：具备微服务架构设计经验，熟悉FastAPI+Celery实现异步任务、RabbitMQ/Kafka等消息队列者加分。
4.项目管理：有独立负责项目从0到1落地的经验，具备良好的需求理解能力、技术方案设计能力和问题排查能力。

需要你具备的技能：
•后端：Python3.8+、Flask、FastAPI、RESTful API、pytest（单元测试）
•前端：Vue2/Vue3、Element UI/Plus、Axios、Vue Router、Pinia/Vuex
•大模型：Prompt工程、RAG技术、大模型API二次开发、知识库构建
•数据库/缓存：MySQL/PostgreSQL、Redis、MongoDB
•部署/运维：Linux、Docker、Git
•辅助工具：Swagger/APIFox（接口文档）、pytest（单元测试）",孔女士,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/bbcc91012882865c0nV-2d-4EFRZ.html,通过,通过,
测试工程师-物联网项目-远程面试,上海博为峰,9-11K,杭州,余杭区,仓前,杭州余杭区永福(地铁站)余杭塘路1600号,3-5年,本科,自动化测试经验、Shell、测试工作经验、自动化测试、功能测试、JMeter、Postman、Python,带薪年假、五险一金、节日福利、全勤奖、补充医疗保险、员工旅游、餐补、通讯补贴、定期体检、交通补助、年终奖、零食下午茶、年度旅游,"需求一:机器人项目
服务需求描述：
1、负责机器人业务平台、运营平台的⽇常版本迭代测试⼯作，测试内容包括功能测试、接口测试、性能测试等。
2、根据功能需求，编写测试计划，编写并执⾏测试用例。
3、负责对测试中发现的问题进行分析、跟踪和报告，推动测试发现的问题及时合理的解决。
4、配合合作团队及时跟踪、分析、解决故障以及测试质量跟进。
服务⽅案要求：
1、本科学历3年及以上测试经验，熟悉平台测试，熟悉Web端测试，熟悉测试流程，能够独立负责产品测试工作。
2、有智能机器人、人形机器人、四足机器人等类机器人产品功能测试经验优先。
3、有智能硬件设备（IP电话、摄像头、猫眼门铃、门锁等）或其他智能家居网页测试经验优先。
4、熟悉平台/Web端测试，了解cs架构、数据库操作。
5、熟练掌握常见接口测试工具如jmeter、postman、foxapi等。
6、熟悉Linux操作系统，了解C/C++、Java、Python等编程语言优先。
7、熟悉业务逻辑，能独立设计测试用例，独立完成测试执行工作。
8、有良好的沟通表达能力和团队合作精神，有耐心和责任心。
需求二：家庭智能终端项目（软硬件结合测试）
服务需求描述：
1、支撑家庭智能终端产品测试，协助完成硬件测试、软件测试，并编写输出测试报告；
2、能够执行功能、兼容性测试，协助支撑完成应用性能、服务性能、安全测试，并编写输出测试报告；
3、能够执行可靠性测试、电磁兼容测试等，并编写输出测试报告；
4、对测试中发现的问题进行分析跟踪和报告，推动测试中发现的问题及时合理解决，保证项目的顺利按期完成，并及时汇报测试工作进展与测试风险；
5、与研发部门的相关岗位人员沟通协调，对需求及项目的立项、评审、排期、测试、上线、验收、复盘等环节的具体跟进及推动。
服务方案要求：
1.2年及以上测试经验，熟悉测试流程，能够独立负责产品测试工作
2.对业务逻辑有较强理解能力，能熟练、独立的进行测试用例设计和执行
3.具备初步的问题定位能力，
4.能使用adb工具、linux指令、mysql指令、抓包软件优先
5.有独立负责项目测试工作经验、智能硬件相关测试经验优先
6.熟悉shell/python/Java中的一种或者多种语言者优先
7.有良好的沟通表达能力和团队合作精神，有耐心和责任心",唐含妹,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/b72e1f2207fd81b50nZ90ty_E1dR.html,通过,通过,
Python开发工程师（上市公司+周末双休）,四方精创,18-30K,杭州,余杭区,仓前,杭州思凯路189号3幢D5-503-7室,1-3年,本科,PyTorch、NLP、机器学习经验、Python,节日福利、员工旅游、补充医疗保险、股票期权、年终奖、五险一金、交通补助、零食下午茶、带薪年假、餐补、加班补助、定期体检,"任职要求：
1、全日制本科及以上学历，具有 1-3 年 Python、机器学习、NLP、算法工程、后端开发、AI 应用或模型部署相关经验；
2、熟悉 Python 基础开发，能够完成数据处理、接口调用、脚本编写和基础调试⼯作；
3、了解 PyTorch 或 HuggingFace 的基本使⽤，能够按照⽂档完成模型加载、测试和简单调用；
4、了解大模型基本概念，如 Prompt、SFT、LoRA、RAG、向量数据库等；
5、做过⼤模型调用、知识库问答、文本分类、信息抽取、智能客服等相关项目之一；
6、了解 RAG 基本流程，包括文档切分、向量化、检索、召回和问答生成；
7、熟悉 Linux 基础操作，能够完成环境配置、服务启动、日志查看等工作；
8、了解 Docker 基础使用，能够根据文档构建和运行容器；
9、了解 RESTful API、接口鉴权、日志、异常处理等基础后端开发内容；
10、对大模型应用落地、模型部署、GPU 服务器和推理服务有兴趣，学习能力强，愿意跟进新工具和新框架；
11、能够阅读技术文档，按照教程或项目要求完成模型测试、调参、部署验证和结果记录；
12、具备良好的沟通能力和问题记录习惯，能够与后端、产品或业务团队配合完成模型能力接入。

加分项:
1、使用过 LLaMA-Factory、LangChain、FastChat、Ollama、HuggingFace 等大模型工具或框架；
2、实际跑通过 LoRA / SFT 微调流程；
3、接触过 FAISS、Milvus、Chroma、Elasticsearch 等检索或向量数据库工具；
4、了解 vLLM、TGI、Ollama、LM Studio 等模型推理和部署工具；
5、了解模型量化、推理加速、显存优化等基础概念；
6、接触过 GPU 服务器，了解显存查看、进程查看和资源占用排查；
7、有 FastAPI、Flask、Django 等接口开发经验；
8、了解 Nginx、Redis、MySQL、PostgreSQL 等常见后端组件；
9、了解 Prometheus、Grafana、ELK 等监控或日志工具；
10、有行业知识库、智能问答、企业内部 AI 助手、智能客服系统等项目经验。",梁女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/d061a13326e22ae40nd90ty0FFBX.html,通过,通过,
python,研一智控,15-20K·14薪,杭州,钱塘区,工业园南,杭州钱塘区钱塘云谷6A幢10层,5-10年,本科,团队管理经验、Django、MySQL、Python、Flask,绩效奖金、年终奖、五险一金、带薪年假、法定节假日三薪、全勤奖、定期体检、团建聚餐、节假日加班费、节日福利、员工旅游、生日福利,"岗位职责：
1.负责已有产品或者项目的优化、升级维护等工作；
2.负责新项目子系统/功能模块的设计、编码、单元测试和集成部署以及技术文档编写等相关工作；
3.参与核心功能的架构与代码模板编写，开发与维护系统公用核心模块；
4.参与产品/项目业务规划，讨论并提出有建设性的意见；

岗位要求：
1.统招全日制本科以上学历，计算机相关专业；
2.5年以上python开发经验，能独立进行功能开发；
3.熟练掌握Python web开发框架，精通Flask、Django或者其他Python Web框架中的一种；
4.熟练掌握SQL语言，熟悉Mysql、Sqlite数据库，能设计良好的数据库结构；
5.对前端有一定的了解。",余先生,招聘主管,刚刚活跃,https://www.zhipin.com/job_detail/d760724e22b97c7503J73Ny8F1ZV.html,通过,通过,
AI大模型测评工程师（python）,法本,12-20K,杭州,余杭区,仓前,杭州余杭区阿里巴巴西溪C区CCC,5-10年,本科,Nginx、Redis、Linux开发/部署经验、Shell脚本、Python、JSON、YAML,节日福利、五险一金、零食下午茶、带薪年假、企业文化,"余杭阿里西溪园区C区驻场项目，双休，入职缴纳五险一⾦，全额公积⾦；

主要⼯作内容：负责将外部各种AI/Agent评测集，迁移适配到公司内部的统一评测框架中，并稳定、准确地执行⼤规模评测任务，最终输出清晰可靠的性能分析报告。

核心职责:
评测集迁移与适配：深入理解业界主流的AI/Agent评测集，负责将其数据结构、评测逻辑和评估指标，精准地适配并迁移到公司内部的统一评测框架上，解决适配迁移过程中面临的各自问题。
评测任务执行与监控：负责大规模评测任务的部署、执行与监控，确保评测过程的稳定性和数据产出的准确性。
结果分析与报告：对评测结果进行初步的数据清洗和格式化，为算法团队提供清晰、可靠的性能数据报告，并能定位因适配问题导致的数据异常。

任职要求：
教育背景：计算机相关专业，本科及以上学历, 4年以上相关工作经验。
编程能力：有一定的python开发能力，熟悉JSON、YAML等数据格式，熟悉Linux开发环境，能够使用Shell脚本进行自动化任务。
评测能力: 具备处理复杂评测逻辑的能力，理解Judge评测范式，了解Agent的评估指标，不仅限于文本生成质量，还包括对规划能力、工具调用成功率等维度，了解代码类评测基准（如HumanEval, SWE-bench），能够确保评测集迁移准确性。
理解与沟通能力：能够快速阅读并理解技术论文和开源项目文档，准确把握评测集的核心逻辑。能够与算法研究员和框架开发工程师进行高效沟通，清晰表达适配过程中遇到的问题和需求。",李女士,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/18b6ad49eda7bc4a0nd_0t66FlNR.html,通过,通过,
Java/python后端开发（直管外包）,阿里集团,14-19K,杭州,余杭区,仓前,杭州余杭区阿里巴巴西溪C区C3楼,1-3年,本科,爬虫经验、Django、MySQL、Python,通讯补贴、加班补助、定期体检、零食下午茶、餐补、交通补助、五险一金、补充医疗保险,"工作内容
1. 负责算法安全相关业务的业务接入、算法接入等需求
2. 负责算法安全相关业务的算法工程开发，包括不同GPU卡型适配、压测、算法合约升级、不同区域部署等⼯程⼯作
3. 负责算法安全相关业务的线上运维⼯作，包括算法资源扩容、缩容、报警的运维事项

人员画像
1.本科及以上学历，有良好的工程开发经验，熟悉java和python的开发；
2.有良好的学习能⼒和沟通能力，能够快速学习新技术并转化为产品解决业务问题；
3.有责任心，能主动推动工作进展，保持积极乐观的工作态度。",汪女士,HRG,刚刚活跃,https://www.zhipin.com/job_detail/c6610d7aa068020d03x639q1ElZW.html,通过,通过,
Python 开发工程师（电商）,飞鹰电商,8-13K,杭州,萧山区,西兴,杭州萧山区杭州湾信息港1期B2座10楼飞鹰集团,1-3年,大专,Nginx、vibe coding、爬虫经验、MySQL、机器学习经验、电商行业、运维开发经验、Redis、架构设计经验、Python,五险、生日福利、节日福利、带薪年假、绩效奖金、团建聚餐、员工旅游、年终奖、零食下午茶、定期体检,"【岗位职责】
1.业务需求调研 & 项目全流程管理：对接公司电商运营、财务、客服、仓储等各业务事业部，开展业务流程调研、需求梳理与需求对齐；输出标准化需求文档、开发设计文档，拆解自动化开发任务，把控项⽬进度，推动 RPA 项⽬按时⾼质量落地交付。
2.RPA机器人开发 & 电商场景自动化落地：基于RPA ⼯具（如影刀等），遵循开发规范，独立完成电商全场景自动化流程开发、部署与维护；覆盖订单处理、库存同步、客服工单、后台数据录入、报表自动生成、ERP 系统操作、日常办公重复操作自动化，高效解决电商业务重复性、规模化软件操作痛点。
3.Python 技术开发 & 数据自动化能力：熟练运用 Python 进行开发，完成电商平台网页自动登录、元素定位、数据爬虫采集（商品 / 评论 / 物流等多源数据）；完成数据清洗、整理、分析，实现定时报表推送、异常告警提醒。
4.领导交代的其他工作。

【任职资格】
1.大专及以上学历，计算机、软件工程、信息技术等 IT 相关专业；有电商行业自动化项目经验优先；
2.有vibe coding（codex等）经验优先；
3.熟练掌握 Python 开发，能独立编写 Python 脚本；熟悉 Excel 处理、网页自动化、Selenium 爬虫技术，掌握 MySQL 基础增删改查、SQL 数据查询分析；
4.掌握 RPA 元素定位、流程调试、异常捕获、自动重试等开发运维能力；
5.具备良好的文档撰写能力、Office 办公软件使用能力；逻辑思维清晰，有独立解决问题能力、跨部门沟通协作能力，耐心细致愿意承担运维优化工作。",刘女士,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/0fccb4487513a4af0nd839u-FVpS.html,通过,通过,
Python开发工程师,杭州百博电商,18-25K·13薪,杭州,滨江区,西兴,杭州滨江区海威中心7号楼14楼1402,3-5年,大专,网络爬虫技术、分布式技术、爬虫工程师、Python,股权激励、住房补贴、全勤奖、五险一金、零食下午茶、股权激励、节日福利、年终奖、带薪年假、员工旅游,"岗位职责：
1.爬虫开发、与内部系统后端开发对接；负责爬虫系统构架的数据存储设计。
2.建立完整的数据获取、解析、入库和监控流程，并不断优化迭代完善。
3.理解系统数据处理流程以及业务功能需求。
4.保证数据的完整性和准确性。
岗位要求:
1、熟悉js逆向、js注入、反混淆、熟悉jsRPC服务
2、计算机相关专业专科及以上学历(有项目经验可以放宽）；
3、熟悉flask框架，tornado，以及前端爬虫的基础知识优先.
4、熟悉mysql、mongodb等数据库的使用，熟悉Redis等缓存的使用
5.灵活使用scrapy selenium等爬虫工具。
6.有一定的反爬虫对抗经验，分布式爬虫布局。纯LINUX环境模拟登陆。
7.同行优先（电商行业）",王女士,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/d494ed8978cdd2411XZ60tm5FlpS.html,通过,通过,
Python分布式爬虫工程师,抖团科技,12-24K,杭州,余杭区,仓前,杭州余杭区利尔达物联网科技园3幢902室,3-5年,本科,,生日福利、节日福利、定期体检、餐补、意外险、五险一金、员工旅游、绩效奖金、加班补助、带薪年假、年终奖、节假日加班费、零食下午茶、团建聚餐、有无线网,"职位要求：
1、参与媒体账号矩阵自动化发布系统的开发与维护，实现多平台、多账号内容自动化调度与发布。
2、有GitHub上Python开源二次开发并商业化经历的优先。
3、根据要求完成相应模块开发；
4、研究分析目标⽹站，进⾏数据抓取、解析、⼊库、存储；
5、研究优化算法，持续提升爬虫系统的性能；
6、参与分布式爬虫系统的架构设计与开发。

任职要求：
1、全⽇制本科以上学历，计算机相关专业出身；
2、三年以上实际开发经验，精通信息抓取、数据整合及媒体账号矩阵发布技术；
3、熟悉Linux平台开发，三年以上Python语言开发经验（Java经验者优先）；
4、熟悉GitHub上Python开源自动化库，具有相关开源项目的理解与二次开发经验（如账号自动注册、社交媒体内容自动上传、AI接口代理封装等类型项目）（新增核心要求，按你的最新诉求提前）；
5、熟悉MySQL、Redis、MongoDB三者中至少一种的数据调优及海量数据存储经验；
6、精通爬虫原理，熟悉常见爬虫框架（Scrapy、Requests、Playwright等）；
7、精通媒体平台接口逆向工程，能独立完成抓包、协议分析、模拟登录与自动化发布；
8、深入了解Python性能调优方法，擅长多并发编程（asyncio、multiprocessing、Celery、分布式任务队列等），能独立处理高并发采集与发布场景；
9、具有较强的进取心、团队合作精神以及抗压能力；
10、有网络爬虫、数据采集平台或媒体账号矩阵发布系统开发经验者优先考虑。",伍女士,HR,2周内活跃,https://www.zhipin.com/job_detail/3f472b04f55cb8fb0nZy2968EFtX.html,通过,通过,
Python,程栈科技,100-120元/时,杭州,钱塘区,和达东东城,杭州钱塘区佳宝科创中心4幢3层,5-10年,本科,Python,五险一金,"工作周期：1个月
每周工期：3-4天
工作时间：午班、晚班
⼯作时段：按单安排时间
结算⽅式：完⼯结
招聘截止时间：2025-12-15
岗位职责：
1. 设计、开发和维护高质量的Python后端服务，确保功能的有效实现。
2. 与团队合作，参与项⽬的需求分析、系统设计、开发和测试工作。
3. 优化现有系统的性能，提高系统的稳定性和可扩展性。
4. 解决开发过程中的技术难题。
5. 提供技术文档和单元测试。

任职要求：
1. 具备扎实的Python开发经验，熟悉fastapi和postgres等技术栈。
2. 有openim开发经验者优先。
3. 要求有丰富的项目经验，能够独立完成项目的设计、开发和维护。
4. 良好的团队合作精神和沟通能力，能够在快节奏的环境中高效工作。
5. 能够接受远程工作，适应灵活的工作时间，包括可能的兼职工作。",赖钦华,总经理,本月活跃,https://www.zhipin.com/job_detail/58f4c50a4733a1d403x-3N60EVtQ.html,已过滤,"活跃度过滤: 不活跃, [本月活跃]",
